"","First_Name_Middle","Last_Name","Office_FilerType","Report_Type","Date_Received_Filed","Transaction_Date","Owner","Ticker","Asset_Name","Asset_Type","Transaction_Type","Amount","Comment"
"1","John A","Barrasso","Barrasso, John (Senator)","Periodic Transaction Report for 05/24/2018","05/24/2018",2018-05-01,"Self","--","Undeveloped Land-TOPOL
                                        
                                        
                                        
                                            
                                                
                                                    Company: Wyoming Orthopaedics Institute, LLC
                                                    
                                                         (Casper, WY)
                                                    
                                                
                                            

                                            
                                                Description: Real Estate Partnership","Other Securities","Sale (Full)","$50,001 - $100,000","--"
"2","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 07/12/2021","07/12/2021",2021-07-01,"Self","--","Oakcliff Capital Partners, LP
                                        
                                        
                                        
                                            
                                                
                                                    Company: Oakcliff Capital Partners, LP
                                                    
                                                         (New York, NY)
                                                    
                                                
                                            

                                            
                                                Description: Investment Fund","Other Securities","Purchase","$500,001 - $1,000,000","--"
"3","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 10/18/2022","10/18/2022",2022-10-04,"Self","--","More
                                        
                                        
                                        
                                            
                                                
                                                    Company: More
                                                    
                                                         (Ebene, Muritius (India))
                                                    
                                                
                                            

                                            
                                                Description: Grocery Chain","Other Securities","Purchase","$1,001 - $15,000","Underlying asset of Madeira Capital Investments Limited"
"4","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 04/10/2017","04/10/2017",2017-03-28,"Self","RGC","Regal Entertainment Group","Stock","Sale (Partial)","$500,001 - $1,000,000","--"
"5","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 02/07/2017","02/07/2017",2017-01-25,"Self","--","Continuum Real Estate Investors 2016, LLC
                                        
                                        
                                        
                                            
                                                
                                                    Company: Continuum Real Estate Investors 2016, LLC
                                                    
                                                         (Denver , CO)
                                                    
                                                
                                            

                                            
                                                Description: Private Equity","Other Securities","Purchase","$250,001 - $500,000","--"
"6","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 04/02/2019","04/02/2019",2019-03-01,"Self","--","More
                                        
                                        
                                        
                                            
                                                
                                                    Company: More
                                                    
                                                         (Ebene, Muritius (India))
                                                    
                                                
                                            

                                            
                                                Description: Grocery Chain","Other Securities","Purchase","$100,001 - $250,000","Underlying asset of Madeira Capital Investments Limited"
"7","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 05/04/2020","05/04/2020",2020-03-30,"Self","--","CP Kent Place Member LLC
                                        
                                        
                                        
                                            
                                                
                                                    Company: CP Kent Place Member LLC
                                                    
                                                         (Denver, CO)
                                                    
                                                
                                            

                                            
                                                Description: Holding Company","Other Securities","Purchase","$100,001 - $250,000","Underlying asset - Commercial Real Estate"
"8","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 09/02/2020","09/02/2020",2020-08-27,"Self","--","More
                                        
                                        
                                        
                                            
                                                
                                                    Company: More
                                                    
                                                         (Ebene, Muritius (India))
                                                    
                                                
                                            

                                            
                                                Description: Grocery Chain","Other Securities","Purchase","$1,001 - $15,000","Underlying asset of Madeira Capital Investments Limited"
"9","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 12/21/2017","12/21/2017",2017-12-08,"Self","RGC","Regal Entertainment Group","Stock","Sale (Full)","$500,001 - $1,000,000","--"
"10","Michael F","Bennet","Bennet, Michael (Senator)","Periodic Transaction Report for 12/21/2017","12/21/2017",2017-11-01,"Self","LVLT
                                        
                                        
                                            CTL","Level 3 Communications, Inc. (Exchanged)
                                            
                                            CenturyLink, Inc. (Received)","Stock","Exchange","$50,001 - $100,000","Shares of CTL received as a result of merger."
"11","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","NKE","Nike, Inc. (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"12","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","IRM","Iron Mountain Inc. (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"13","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","IBM","International Business Machines Corporation (NYSE)","Stock","Sale (Full)","$1,001 - $15,000","--"
"14","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","FB","Facebook, Inc. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
"15","Cory A","Booker","Booker, Cory (Senator)","Periodic Transaction Report for 09/07/2014","09/07/2014",2014-08-08,"Self","AMZN","Amazon.com Inc. (NASDAQ)","Stock","Sale (Full)","$1,001 - $15,000","--"
